,FighterID,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
0,432932,https://ufc.ru/athlete/alexandre-pantoja,33.0,165.1,56.68,6.0,170.18,92.71,48.0,4.41,3.81,1.75,52.0,67.0,26.0,5.0,0.0,8.0
1,800879,https://ufc.ru/athlete/shon-omelli,28.0,180.34,61.22,6.0,182.88,101.6,61.0,7.25,3.51,0.43,62.0,63.0,17.0,1.0,0.0,12.0
2,808400,https://ufc.ru/athlete/aleksandr-volkanovski,34.0,167.64,65.53,7.0,181.61,91.44,57.0,6.25,3.36,1.86,59.0,69.0,26.0,2.0,0.0,13.0
3,200505,https://ufc.ru/athlete/islam-makhachev,31.0,177.8,70.29,8.0,179.07,102.87,59.0,2.35,1.27,3.24,62.0,91.0,24.0,1.0,0.0,4.0
4,435814,https://ufc.ru/athlete/leon-edwards,31.0,182.88,77.09,9.0,187.96,109.22,53.0,2.8,2.4,1.26,54.0,69.0,21.0,3.0,0.0,7.0
5,676482,https://ufc.ru/athlete/israel-adesanya,33.0,193.04,83.67,5.0,203.2,113.03,50.0,3.94,2.88,0.06,58.0,78.0,24.0,2.0,0.0,16.0
6,602904,https://ufc.ru/athlete/dzhamakhal-khill,32.0,193.04,92.74,3.0,200.66,110.49,55.0,7.31,3.35,0.0,48.0,73.0,12.0,1.0,0.0,7.0
7,111083,https://ufc.ru/athlete/dzhon-dzhons,35.0,193.04,112.47,15.0,214.63,114.3,58.0,4.29,2.22,1.93,64.0,95.0,27.0,1.0,0.0,10.0
8,760363,https://ufc.ru/athlete/veyli-zhang,34.0,162.56,52.15,5.0,160.02,91.44,52.0,5.94,3.44,2.29,54.0,67.0,24.0,3.0,0.0,11.0
9,320761,https://ufc.ru/athlete/aleksa-grasso,29.0,165.1,56.46,7.0,167.64,95.25,43.0,4.88,4.07,0.38,59.0,61.0,16.0,3.0,0.0,4.0
