,Division,FighterID,Name,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
112,Полутяжелый вес,992960,Доминик Рейес,https://ufc.ru/athlete/dominik-reyes,33.0,193.04,93.15,6.0,195.58,110.49,50.0,4.75,3.77,0.36,48.0,81.0,12.0,4.0,0.0,7.0
113,Полутяжелый вес,271427,Алонзо Менфилд,https://ufc.ru/athlete/alonzo-menifield,35.0,182.88,93.19,4.0,193.04,104.14,58.0,3.82,3.09,0.62,52.0,76.0,14.0,3.0,1.0,10.0
114,Полутяжелый вес,479989,Дастин Джейкоби,https://ufc.ru/athlete/dastin-dzheykobi,35.0,190.5,97.5,12.0,193.04,114.3,47.0,5.46,4.02,0.4,59.0,60.0,19.0,7.0,1.0,12.0
115,Тяжелый вес,231271,Сергей Павлович,https://ufc.ru/athlete/sergey-pavlovich,31.0,190.5,118.14,5.0,213.36,114.3,49.0,8.72,4.33,0.0,57.0,75.0,18.0,1.0,0.0,15.0
116,Тяжелый вес,768927,Сирил Ган,https://ufc.ru/athlete/ciryl-gane,33.0,193.04,116.09,4.0,205.74,106.68,60.0,5.08,2.25,0.61,63.0,45.0,12.0,2.0,0.0,6.0
117,Тяжелый вес,480555,Стипе Миочич,https://ufc.ru/athlete/stipe-miochich,40.0,195.58,106.12,12.0,203.2,99.06,53.0,4.82,3.82,1.86,55.0,68.0,20.0,4.0,0.0,15.0
118,Тяжелый вес,361033,Том Аспинэлл,https://ufc.ru/athlete/tom-aspinell,30.0,195.58,117.0,3.0,198.12,111.76,66.0,7.65,2.9,3.7,65.0,100.0,13.0,3.0,0.0,10.0
119,Тяжелый вес,405180,Кёртис Блэйдс,https://ufc.ru/athlete/kyortis-bleyds,32.0,193.04,119.04,7.0,203.2,116.84,50.0,3.56,1.89,5.93,60.0,33.0,17.0,4.0,0.0,12.0
120,Тяжелый вес,496156,Тай Туиваса,https://ufc.ru/athlete/tay-tuivasa,30.0,187.96,120.63,6.0,190.5,100.33,50.0,4.1,4.46,0.0,45.0,52.0,15.0,5.0,0.0,14.0
121,Тяжелый вес,501791,Сергей Спивак,https://ufc.ru/athlete/sergey-spivak-0,28.0,190.5,117.23,4.0,198.12,111.76,51.0,3.79,2.84,5.05,56.0,70.0,16.0,3.0,0.0,7.0
122,Тяжелый вес,459356,Александр Волков,https://ufc.ru/athlete/aleksandr-volkov,34.0,200.66,117.0,7.0,203.2,120.65,57.0,4.89,3.0,0.51,54.0,73.0,36.0,10.0,0.0,24.0
123,Тяжелый вес,627255,Жаилтон Алмейда,https://ufc.ru/athlete/kori-makkenna-10,31.0,190.5,104.76,2.0,200.66,110.49,64.0,3.81,0.3,6.4,25.0,50.0,19.0,2.0,0.0,7.0
124,Тяжелый вес,211855,Деррик Льюис,https://ufc.ru/athlete/derrik-lyuis,38.0,190.5,119.5,9.0,200.66,110.49,51.0,2.6,2.59,0.59,41.0,52.0,27.0,11.0,0.0,22.0
125,Тяжелый вес,270989,Марчин Тыбура,https://ufc.ru/athlete/marchin-tybura,37.0,190.5,111.56,7.0,198.12,116.84,48.0,3.55,3.35,1.39,56.0,79.0,24.0,8.0,0.0,9.0
126,Тяжелый вес,207306,Жаирзиньо Розенстрайк,https://ufc.ru/athlete/jairzinho-rozenstruik,35.0,187.96,120.18,4.0,198.12,104.14,46.0,2.81,3.15,0.0,45.0,74.0,13.0,5.0,0.0,12.0
128,Тяжелый вес,441737,Маркос Рожерио Де Лима,https://ufc.ru/athlete/markos-rozherio-de-lima,38.0,185.42,118.82,9.0,190.5,109.22,57.0,3.61,2.96,1.34,52.0,59.0,21.0,10.0,1.0,14.0
129,Тяжелый вес,840939,Родриго Насименто Феррейра,https://ufc.ru/athlete/rodrigo-nasimento-ferreyra,30.0,187.96,119.95,4.0,203.2,109.22,49.0,4.2,4.6,1.58,40.0,75.0,10.0,1.0,0.0,2.0
130,Женский минимальный вес,748539,Карла Эспарза,https://ufc.ru/athlete/karla-esparza,35.0,154.94,52.06,9.0,160.02,88.9,40.0,2.16,2.69,3.22,55.0,47.0,20.0,7.0,0.0,4.0
131,Женский минимальный вес,746092,Роуз Намаюнас,https://ufc.ru/athlete/rouz-namayunas,31.0,165.1,61.22,9.0,165.1,100.33,41.0,3.66,3.5,1.61,61.0,60.0,12.0,6.0,0.0,2.0
132,Женский минимальный вес,751959,Ян Сяонянь,https://ufc.ru/athlete/yan-syaonyan,34.0,165.1,52.15,6.0,160.02,93.98,45.0,5.55,3.56,0.86,62.0,71.0,17.0,3.0,0.0,8.0
133,Женский минимальный вес,944164,Татьяна Суарез,https://ufc.ru/athlete/tatyana-suarez,32.0,165.1,58.5,7.0,167.64,99.06,64.0,4.27,1.38,6.2,51.0,100.0,11.0,0.0,0.0,2.0
134,Женский минимальный вес,714460,Аманда Лемос,https://ufc.ru/athlete/amanda-lemos,36.0,162.56,51.7,6.0,165.1,91.44,55.0,3.54,4.66,0.82,43.0,56.0,13.0,3.0,1.0,8.0
135,Женский минимальный вес,628110,Джессика Андрадэ,https://ufc.ru/athlete/dzhessika-andrade,31.0,156.21,59.86,10.0,157.47,88.9,51.0,6.68,5.34,2.54,54.0,70.0,24.0,12.0,0.0,9.0
136,Женский минимальный вес,602171,Вирна Яндироба,https://ufc.ru/athlete/virna-yandiroba,35.0,160.02,52.15,4.0,162.56,93.98,41.0,2.34,3.03,2.42,57.0,74.0,19.0,3.0,0.0,1.0
137,Женский минимальный вес,239801,Маккензи Дёрн,https://ufc.ru/athlete/makkenzi-dyorn,30.0,162.56,52.15,5.0,160.02,95.25,40.0,3.36,4.09,0.81,51.0,40.0,13.0,3.0,0.0,0.0
138,Женский минимальный вес,144437,Марина Родригез,https://ufc.ru/athlete/marina-rodriguez,36.0,167.64,52.15,5.0,165.1,97.79,48.0,4.58,2.94,0.17,56.0,64.0,16.0,3.0,2.0,6.0
139,Женский минимальный вес,937714,Тиша Торрес,https://ufc.ru/athlete/tecia-torres,33.0,154.94,52.38,9.0,153.67,88.9,49.0,4.74,3.59,0.66,61.0,62.0,13.0,6.0,0.0,1.0
